year,age_bp,mean,lo_95,hi_95,n_members,cps_median,dcc_median,gam_median,paico_median,scc_median
-5550,7500.0,0.4850739843426358,0.21837925617025167,1.5035930495502852,500,1.293885528355545,0.4374403013672095,0.35861866576414464,0.48997884394485103,0.4353850576339205
-5450,7400.0,0.5058637282998446,0.259923512706177,1.579820674346134,500,1.330607216615395,0.46286519048340147,0.439405720858422,0.5087638871764395,0.448467226832563
-5350,7300.0,0.5082110132220106,0.2532806445524324,1.6147436302333371,500,1.370992447471385,0.4851977491956695,0.3975057229845858,0.5154554591075425,0.4477288884389935
-5250,7200.0,0.519851129585833,0.2906803329014123,1.6540407755408737,500,1.4081594264743,0.478989615934874,0.47428770988588587,0.494962530008764,0.4486411422166995
-5150,7100.0,0.542716691880336,0.3079318002152447,1.7004622966646539,500,1.4279553567780652,0.5057303218518361,0.5173431012409786,0.519566423637027,0.4576151132048
-5050,7000.0,0.5545812421225556,0.3169251896791668,1.766042665917085,500,1.49301739963428,0.5083793759123796,0.5012198441781224,0.5314262954094799,0.5014191923314665
-4950,6900.0,0.544352450914072,0.3203620551876403,1.8201082342134034,500,1.496797721811285,0.4998166167658185,0.47316517829665783,0.5172885269399194,0.505992039977772
-4850,6800.0,0.5666532309409172,0.33249956688994053,1.796147408888023,500,1.48562000490928,0.5301358345329366,0.5099775828401284,0.514357478041461,0.514796713360009
-4750,6700.0,0.5604781212972785,0.3399517340432511,1.7674516413370485,500,1.523579570353635,0.5310401234698855,0.524893891278005,0.519988584382491,0.529035310401509
-4650,6600.0,0.5625461035594714,0.3561084254888696,1.7498555965709008,500,1.533059254079485,0.5158631470520154,0.55322483889262,0.510274158836403,0.5170757669002619
-4550,6500.0,0.5520728146212567,0.30843941815263376,1.6714578305135401,500,1.47648790912953,0.5134299251174801,0.5415293557220229,0.4886314829502665,0.4896207456551745
-4450,6400.0,0.5531943373130398,0.31688181236250496,1.6961690381028103,500,1.4698594824813052,0.527866205836924,0.5546991818381612,0.48968760067053296,0.47170164006778603
-4350,6300.0,0.5458943944643064,0.3040595843445081,1.6295277625569806,500,1.359195323432425,0.5101318242406555,0.5400160788169457,0.49563855072142904,0.477936744354273
-4250,6200.0,0.5273263243892112,0.30022955648244687,1.6864069298802238,500,1.392555918473695,0.49741104099205147,0.5004343212038092,0.4898245691548625,0.4729482650017335
-4150,6100.0,0.5321978515927754,0.32753766933582834,1.660124993446598,500,1.3195634334507949,0.481443631472042,0.48806958596441585,0.4701229801879865,0.49466514954990204
-4050,6000.0,0.5249697782529976,0.31928443927206396,1.5611465608136808,500,1.3474059464292751,0.504792551063832,0.5008970107848955,0.4688491962915865,0.49940944780760255
-3950,5900.0,0.5131788976528115,0.3194131519842986,1.5698315111801626,500,1.252500455114585,0.509967660024562,0.4908902099357447,0.44546193977379,0.4700110358926855
-3850,5800.0,0.5119854311231604,0.28119476608856186,1.515577163047658,500,1.33902899809021,0.4922623510581195,0.4544169331842931,0.453241049234212,0.471241888475741
-3750,5700.0,0.503232710187599,0.2905473487199051,1.532788221352041,500,1.3251226184645,0.489951428725871,0.48079852696500786,0.45592782745987503,0.45863551699631
-3650,5600.0,0.4884642294584665,0.27842209502363047,1.4957871191808048,500,1.2826153534174098,0.469642074137001,0.44610686190597815,0.44427697574394753,0.456513758622872
-3550,5500.0,0.48644073398442833,0.24547879421108018,1.4878385224745008,500,1.24710993876623,0.469001189101859,0.41967015694964416,0.42290650106448,0.4652005763506545
-3450,5400.0,0.473017329406579,0.2761090267888795,1.4032474480201331,500,1.20812143890935,0.4612075195637205,0.4129761496191477,0.428849120870999,0.436553407315186
