"binAges","band","ens1","ens2","ens3","ens4","ens5","ens6","ens7","ens8","ens9","ens10","ens11","ens12","ens13","ens14","ens15","ens16","ens17","ens18","ens19","ens20","ens21","ens22","ens23","ens24","ens25","ens26","ens27","ens28","ens29","ens30","ens31","ens32","ens33","ens34","ens35","ens36","ens37","ens38","ens39","ens40","ens41","ens42","ens43","ens44","ens45","ens46","ens47","ens48","ens49","ens50"
1000,1,0.20044876669556,1.37287192606847,1.42625646299967,0.607473273060734,0.502999085924946,0.228499349516105,0.0863739192456503,1.00826507980445,0.413626868981603,1.45854949737709,-0.507121744535233,0.717766578780222,0.691572348313449,0.57162468490742,0.284520739861527,1.06097125358495,0.971788280326695,1.47078571333201,-0.458557371533049,-0.222898361897502,-1.5605427389512,1.27493949503569,0.820200460624738,-0.142379246992505,0.215355206673527,0.490881318485211,0.753607467183718,0.626664098023622,0.790654522393178,0.414506490529288,-0.0145112500177862,0.418821015651202,0.818950817993197,1.12379244261454,0.774175108532105,0.466989319194877,0.548335925216467,0.786517338386878,0.179109696596833,0.13313831621095,-1.05939784338878,0.962931519089397,0.32756818711831,1.05368571904143,0.497904118277598,0.544638972083072,0.0260941094809088,1.50099080758413,0.0743706897328914,1.60557867106739
1100,1,0.0438400030028922,1.50136444399595,0.277309177265846,1.22627575495693,1.50397573490127,1.28332400944074,0.826075525597618,0.516851487993937,0.462157890054235,1.91575480793732,1.36184940355095,0.494717775159654,0.487757553677314,1.16370851597407,2.18960576224325,2.6641984178678,1.76218614589072,1.29445498232867,0.315290390174976,0.506238574289583,-0.60291793261431,1.59995469520931,1.71039369408575,1.4674224563021,1.23094373924933,1.51644462258304,1.8405286656103,1.35408155343793,0.729299909394749,1.04322045551072,0.315833979881051,1.80062839579971,0.862875324634111,0.462604238199881,2.36876406160486,1.30379107618716,0.873820886739263,0.816379716398695,0.794519060391903,0.123089974077334,-0.619497816464418,1.40060218056416,1.4053345329248,2.00660651199791,1.0899642575442,1.09181558821828,1.67332289964645,1.36493112756824,0.473624746977234,0.294595589746363
1200,1,0.700840788438528,0.853458380109072,0.36647493434257,-0.0906578431320386,1.71616056893282,1.4696615063746,1.64346166053098,1.08780746784948,2.06334358707912,1.85402122945084,1.00216100541721,1.31740101294529,1.27951982378825,0.748320889800936,2.36275198792755,2.06975661225482,2.84464317394613,1.64948753194429,0.0412673314037522,1.81754928412509,0.539185433835673,1.17179345275685,1.56578891162186,1.23393470307212,2.04472644238034,1.13549865555394,2.65317898871947,1.05337644262032,0.929666941696849,1.24979262598366,-0.914630380975261,1.32355639282666,0.749917432572791,0.973173358918465,2.20870590562011,0.594429484289592,1.90436305211371,1.52525558867789,1.30881695713961,0.607697704138286,-0.114420584085027,0.625867751490298,1.78528639453206,0.528972547739206,1.58552290780229,2.14242576872545,1.87467964018432,1.64623637882628,0.55153827072587,1.20516717867595
1300,1,1.09313871036794,-0.621278732416442,0.717303408815103,1.03811718422548,1.55915850955484,1.00529964934395,1.67897197108015,0.111208428480009,1.72985898683707,1.74762385779077,0.328424514982758,1.21426206936856,1.05037167491728,1.61818846365755,2.64323000543314,2.05863228365041,2.59489954398374,1.87136672515908,-0.099449376162856,1.59326637488435,1.20255439819314,2.00209297752795,1.4383407276656,0.968866768993278,0.416115101791184,1.95464712034301,2.46350876625152,1.57172188595319,0.796810088835944,1.6412227367516,-0.919294537455746,1.50121704038969,0.808175489217347,0.722955809996713,1.47966752055848,1.66215145424958,1.55682666776105,0.313388327570413,1.51196298299468,1.09445433548715,0.324868639082787,1.65676661262517,0.799661728632687,0.0603058940607739,1.36765501094524,1.84742163496705,0.583288492585866,2.15654441857976,0.721265231428003,1.18632041619605
1400,1,0.547202744301193,0.971568102052476,1.91930595727226,1.38067786091208,1.38866397991781,0.893794796661405,1.78091729897262,-0.508803510770438,1.41742639678024,1.82462497892448,0.576213631068816,0.982054594128131,0.436133543877363,1.38623950464258,2.0210637032938,2.03570213486874,1.42848951338435,1.10002152963597,0.358584920725429,2.00140794731053,0.259344177764105,2.37561617416359,2.04956668280909,1.02136204464295,-0.132147738818256,1.32157904224137,2.14707188126186,1.28480699030962,0.275573207612597,0.925676506549191,-0.375884859373116,1.29656449987932,0.737730017569911,1.51581085985394,1.11579954755941,1.26810749289445,1.98842707709122,0.219939647575159,1.57707190824628,1.09039454720988,1.16298665018435,2.90019695236782,0.566563328262813,0.916743292836661,1.18146917481474,1.95333515277994,1.75592753937803,1.72707837080067,0.729873736380685,0.64912648254105
1500,1,0.740034897018676,0.452310085266782,1.81154310408949,0.770544237342986,1.08747393103682,0.696692975322978,1.25713251929655,0.359241889998797,1.21483304253636,1.90873582251891,0.387130479872694,0.643051310436966,0.780618995494864,1.76687427503397,1.18911193119602,1.4499688823527,0.894656103582816,0.694157745143603,0.738123298940845,1.67138676716588,0.863140962759005,1.67370383448955,1.64708505290862,0.338076048460197,0.402401457211886,1.19190240907064,1.81007230795758,1.09446174934427,0.448664203216883,1.14394230802077,-0.965917354722763,1.11208665461903,0.221262761535666,1.73580022861037,0.289328309467933,-0.17011447231523,0.991460492528031,0.112370064817807,1.5043349457731,1.7567333843797,1.09203627379592,1.2899261131157,-0.818242423306917,0.657088777245317,1.00783468487282,0.235792175991195,0.802904987995249,1.39227711421892,0.174401450932921,0.792281336414689
1600,1,0.711968646425023,0.668352379838713,0.749404458124541,1.76784251670994,1.8062824047117,-0.0817483646115798,1.01048089930222,0.766120062231956,1.60933879141589,1.99049874752575,0.880288446612791,0.505240734164534,-0.134568406879569,2.20016886634264,0.36877050653451,2.6009383632988,1.44327319281945,1.64575215408144,0.958056963106233,1.36002907068909,1.03977817563014,1.39969953381904,1.47956952440527,2.03921453866343,-1.00155419950101,1.388795263654,2.43891966797605,0.357022940519777,0.494882040078178,0.841550128229967,0.467811967860344,0.905737565830196,-0.115685291923521,1.01948496419599,0.855159177688107,0.985128379256889,1.22773706607177,0.191872060901687,0.546530910818068,1.61506878299939,0.879433236224226,0.989347287486267,-0.15539808092905,0.131884034854264,1.08727438667498,1.23072122024037,0.884321201708405,1.51494415079916,0.79844329284321,-0.276161101476593
1700,1,0.249517435747931,1.44639018278148,0.900811481296599,1.96150783686846,1.57013923944821,0.423313289531074,1.29869682489331,0.749164819593431,1.7796301682765,0.65559199960263,1.13106306381651,1.39303992336986,0.595629595723896,2.37230210778585,0.429391061601026,1.91067704098481,2.18785545221225,1.22172668221712,1.33759969388295,1.61815683168644,1.89958395177084,0.982798088594067,2.22717643585453,2.51649378954287,-0.275337499832932,0.4456759894371,1.62165541029358,0.958451456513616,0.458124147009198,0.328195689066168,1.06367174536767,0.784729755829688,1.45927099662784,1.75045992310226,0.281815308541563,1.20486174589919,2.01804306519555,1.90208488658105,0.535877714390156,1.66996007422195,1.21828629680281,1.89680584799646,1.51036513572943,0.757522543853964,1.39346454051162,1.63691465906855,0.92290015678525,0.683077111573847,-0.0510950908605818,0.0236765982009466
1800,1,1.33752473039974,0.468585526509678,0.16150344297661,2.56965596866433,0.905942902079459,0.274157960219294,0.945157586678384,0.678896168833983,0.718142369572098,0.547042169588327,0.492178048862464,0.129746607733184,0.776742812752126,2.0676259669087,0.104921334874759,1.01363559451006,1.76099546767435,1.605090674662,1.18781784912843,2.26197612948799,1.1163606722412,1.2016055408335,1.29445263083502,2.00571233440208,0.499124149429024,0.658952318024163,0.800793623035273,1.63929774954524,0.15706153076574,0.74139281063069,0.765747954547704,0.803130515112197,1.78865926804642,0.0471561736882505,0.347168479454453,1.30960774519397,1.34835886268046,0.958207025038301,0.833873261167287,1.06549817267263,0.735590917651236,1.55861721546158,0.664167704749504,0.113626289193569,1.71391841151628,-0.167427799091827,-0.0366885979872267,1.13314263357593,0.344157042190801,0.852469386435679
1900,1,0.709122124441786,0.917893644912794,1.03724866508234,1.31967313910176,-0.0260839392578928,1.30784742686002,0.319117942796392,-0.640545829492585,0.112206651484191,0.608188568665708,-0.92811707087004,-0.464710046396115,1.74777543103717,1.65417953108721,-0.48189386408648,0.338599214796857,0.577764781312434,-0.244504638431071,0.744365398382142,1.86275194735633,0.607840547507607,1.34413069561047,1.45195634679277,0.922962240557916,0.771001644388718,0.10715419033726,0.414995316577079,0.444136149430188,-0.300486956385232,-0.298864140214998,0.314096330127614,-0.152510091829787,1.20567444557891,-0.286409236163723,1.13259184137261,1.03408461248176,0.230310926691277,0.424193022680877,1.15757582866834,0.94808557675087,-0.696389592490873,0.350028616255514,0.322335224372525,0.804796189707298,0.600897202123769,-0.151477070881646,-1.16164121554134,0.16421665961478,0.350182262815093,0.438829808502362
2000,1,1.10745010747629,0.150810137225288,1.14534983827084,0.143000317042278,0.388815283180517,0.416038937957591,0.0287567212700937,0.487759115334875,0.952946208659539,0.935350853101774,0.0215295320193762,-0.63263688325864,1.18352257733101,0.825362862063837,0.130444309926862,1.76057052913075,0.570046847894044,0.248828274905351,0.716109024350151,0.565170134681668,0.194116988365297,1.03790889473715,0.912783617402511,0.757214628531147,-0.399199023246137,-0.570501060452178,0.70493085579645,0.255866653068342,-0.435592383795537,-0.338133490989137,0.0745970315967067,0.240320601119311,0.734453469209642,-0.346617490488458,0.202533952630107,1.75290610873935,0.449681267759908,1.44800492476336,0.806389711241837,0.586805207498033,-1.12204606385952,0.228193654771227,0.902021519747924,1.08499984751077,-0.0640597757826005,0.127739540960117,0.0855898273704997,0.200093331074687,0.394697678562896,-0.0538177348981367
2100,1,0.486608222790613,1.04867057338826,1.12642142681809,0.648713341742056,0.695452601316863,0.33470396124294,0.414996570690666,0.414864285654944,0.678719575400055,-0.230321157226591,0.567963697916572,-0.756776560345344,0.408373315067978,-0.136660399940864,0.330799199811179,1.56777552853648,0.670083511490015,0.647577617175006,0.325575654978077,1.53787515715637,-0.207776733423476,0.502464652390043,-0.267400997784309,0.404279249689971,-1.05405782544791,-0.819475650646892,0.714243292311211,0.860144281044396,-0.4144267773291,0.331938916078444,0.629626897306716,0.57009817071022,0.272965320215389,-0.166941143279002,0.000912705667711067,1.37800270669204,0.0666739644205559,1.42554531942214,0.208140947673551,0.333263877275134,-0.574897542157636,0.530543730015513,0.743030782390921,1.64244062617338,1.18237284761281,0.456604520889542,0.302259582247222,-0.0886977462397157,0.833917847344799,0.718637521619307
2200,1,1.54740305867671,-0.328128317277712,0.550888427194706,0.730565284292542,0.595195063751052,-0.153782486416209,1.16238047778746,0.405373805818636,0.022216809230028,-0.0158841633416676,0.536450872730597,-0.413927685011476,1.55991410558068,-0.0842684089498719,0.557803594364653,1.66629193499228,0.737146454304272,1.08970452789084,0.0856521837906966,1.15203316050232,0.750592339021116,-0.258495215479674,-0.75546587990322,0.213007210460041,-0.453839312760237,0.162701514590614,1.07998068791363,0.617842297501676,0.00360512321427803,0.0218366439441335,0.240874797570545,0.29370023739608,-0.0428314620099105,0.649223638193197,0.339866647501451,0.802374225701679,0.327164978128079,1.39366358656333,1.46716224262808,0.840443625958986,-0.580359687600834,0.646942096540793,0.682558562093182,1.74790079036047,1.62355986251504,-0.0315091965114319,0.310247316434042,0.674892901150401,0.794413960267961,1.46572552420184
2300,1,0.773638835555396,0.514907326772056,1.81698710995962,0.662323273523246,0.341392283610657,0.255061921308809,0.860034317200971,0.88617923025861,-0.451774127170676,-0.0318311247935888,0.615159864723895,-0.326319197732033,1.37212567802721,0.123645930665044,-0.266387752094392,0.599894821303582,1.50213357075471,0.53476155195308,0.948968102960754,0.0613632921200883,1.03973982811888,0.0307714967499234,0.106530442685783,0.0963477451345154,-0.456284874651399,0.35800280523898,-0.422363239468691,0.330161063394787,-1.08818651176571,-0.000671121182621415,0.67919417985247,-0.481005740627989,0.301965652162165,0.702869991939024,0.0688125412360791,0.583434502946332,-0.000152362683827123,0.675551972650143,1.31377145589069,0.57549447686955,-1.17984076836759,-0.0749822000366823,0.681106070318015,0.216084317522581,1.02087513878335,0.740564727191336,0.379225042106944,1.42524445010616,0.629258450664133,1.80328579329147
2400,1,0.688711900873792,0.82008261212015,1.27118707512951,-0.0255449748240389,-0.367013824447815,-0.351658525135462,0.433799727331061,0.950363069884913,-0.466306240838652,-0.497978306126779,0.130829204627753,-0.193802404448188,0.324184364876819,-0.642369687268025,-0.605350859908496,0.265831428977236,0.338885041495603,0.404270882960096,0.775602495769008,0.346829390139527,0.414587419036394,0.174601231574751,0.710919610393288,0.250660340356271,-0.0678599207364852,-0.158808820409356,0.473858372719381,0.378208056182345,0.571460242256212,-0.592177810361119,1.18269272965984,0.0926292790064889,-1.03508212246138,0.795414164964005,0.179681596170903,0.510773980732373,-0.277887484473284,-0.234480905693794,1.20096288825695,0.889717915856456,-0.156077294249174,-0.236441557468101,0.53009010035347,0.518259385285549,1.55380748917951,0.994483379235982,0.128662342763077,1.05821783540887,0.923074705039763,1.32454524570658
2500,1,-0.172830656473748,-0.11517662006667,0.510039297327989,0.0332707703616885,-0.0879242761998688,-0.355365866848289,0.702481192210509,0.317466429280356,0.197261721796191,-0.0990553229912605,-0.616316360684874,-0.153979821116487,-0.095042968097463,-0.38479814045119,-0.447362575987687,0.245269182675958,-0.213024592896103,-0.0300129727340022,0.66953084950047,1.03903092267945,0.715045208524712,-0.260016700306259,0.868554769363716,0.124442407750707,0.730975009105693,0.0361517579227167,-0.658233786335188,-0.246396897124394,0.146659413376035,-1.05271293021169,0.655901210015199,-0.0885201451220517,-0.666619913609409,-0.909158345049197,0.043648384975107,0.475039925631122,-0.482255654886231,-0.264593925349016,1.13728573235748,0.0769800461972253,-0.324072287705415,-0.304473354278291,0.0770186746642964,0.379386794520558,1.66527835127096,1.5678561564237,-0.689806978855819,1.23661941231031,0.193979461667194,0.544261122870309
2600,1,-0.618850005873214,0.608546687717436,1.20157770542003,-0.212227987521081,-0.749175585824902,-0.446472722806093,0.528397466362775,-0.129972405125271,-0.361540837032773,-0.189797250202671,-0.893747543982082,-0.7507697304603,0.355819029983816,0.720170956292234,-0.396919529055673,0.124502749956615,0.352607447097511,-0.373450223736332,0.1331915149928,1.13992837643675,0.101933417857319,0.294987184988992,0.301941716235212,0.908303529422098,0.502475319835995,0.40644943373309,-0.495845620657276,-0.166014740233846,0.544577335601564,-1.39523625145171,-0.704218782608623,-0.685203748297926,-0.376366313362282,0.0478353078617597,-0.326176994805197,-0.304977327178137,-0.377072289697662,0.157863465690009,0.599648041775686,0.0514893573537961,0.0904167594816063,0.333536291781454,0.951842850577716,-0.617238876057786,-0.0264729514197492,0.771256409271295,-0.194066669114313,0.858738038774616,0.743295711360113,0.388282959525106
2700,1,-0.135131001064942,0.27662177426743,1.51072535238068,-0.637894826680266,-0.640360020592123,-0.696753963164422,0.350206777121547,0.75951136109717,-0.644065607840797,0.990644991537203,-1.258168312823,-1.47686755991204,-0.763500220036507,0.39523758339581,0.258476410132063,-0.0786225674490725,0.261542382960846,-0.390109300958051,-0.2954430110646,0.891524554632171,0.455060230225298,0.637755962241452,1.31623475996019,0.532199810429818,0.422274763323634,0.682852553294179,0.473695249039463,0.203470456426153,1.45853880028128,-1.0377236653858,-0.0473385300543602,-0.393376287281713,0.751678929198675,-1.12602095592261,0.190655068599458,1.28512522070517,-0.745088335493427,1.06678591969376,1.28188788430094,0.681877094595749,0.870850229567042,-0.202085552651088,1.70572321763936,-0.339921719274722,-0.114628410617659,1.44961853238058,0.419294964758274,0.644149806879502,0.288581446946428,0.44482977576562
